#,Topic,Trainer
1,Kickoff meeting,"Łukasz Jankowski [:material-linkedin:][lukasz-jankowski-in],<br>Damian Krawczyk [:material-web:][damian-krawczyk-web]"
2,Cyber awareness,Sławomir Staciwa [:material-linkedin:][slawomir-staciwa-in]
3 :material-new-box:,Data Protection - Compliance,Dagmara Adamczyk [:material-linkedin:][dagmara-adamczyk-in]
4,IT Risk Management - Basics,"Askaniusz Ferens [:material-linkedin:][askaniusz-ferens-in],<br>Anna Maszybrocka [:material-linkedin:][anna-maszybrocka-in]"
5 :material-new-box:,IT Risk Management - Governance,Justyna Chochla-Wojdyła [:material-linkedin:][justyna-chochla-wojdyla-in]
6,Risk Management - Operational Risk Management,Katarzyna Kowalski [:material-linkedin:][katarzyna-kowalski-in]
7 :material-new-box:,Risk Management - Compliance,Kamila Juszczyk [:material-linkedin:][kamila-juszczyk-in]
8,Risk Management - Audits,Karolina Sieruga [:material-linkedin:][karolina-sieruga-in]
9,Identity and Access Management,Paweł Matyszok [:material-linkedin:][pawel-matyszok-in]
10,Password vaults,Mateusz Kozieł [:material-linkedin:][mateusz-koziel-in]
11,Cryptography - Basics,Jacek Kocyba [:material-linkedin:][jacek-kocyba-in]
12 :material-new-box:,Shadow IT,Jacek Kocyba [:material-linkedin:][jacek-kocyba-in]
13,Vulnerability Assessment,"Łukasz Jankowski [:material-linkedin:][lukasz-jankowski-in],<br>Damian Krawczyk [:material-web:][damian-krawczyk-web]"
14 :material-new-box:,Vulnerability Assessment for containers,"Krzysztof Kozak [:material-linkedin:][krzysztof-kozak-in],<br>Łukasz Galos [:material-linkedin:][lukasz-galos-in]"
15,Secure Configuration Monitoring,Maciej Wróbel [:material-linkedin:][maciej-wrobel-in]
16 :material-new-box:,Secure Software Development Lifecycle Management,Maciej Wróbel [:material-linkedin:][maciej-wrobel-in]
17 :material-new-box:,Introduction to Offensive tooling,Michał Kucharski [:material-web:][michal-kucharski-web]
18 :material-new-box:,OSINT in the service of Offensive Security,Maciej Pypeć [:material-linkedin:][maciej-pypec-in]
19,Offensive Cybersecurity - Red Teaming theory,Jakub Plusczok [:material-linkedin:][jakub-plusczok-in]
20,Offensive Cybersecurity - Red Teaming workshop,Jakub Plusczok [:material-linkedin:][jakub-plusczok-in]
21,Offensive Cybersecurity - DDOS,Gerard Żmuda [:material-linkedin:][gerard-zmuda-in]
22 :material-new-box:,Defensive Cybersecurity - Threat Hunting,Jakub Szumera [:material-linkedin:][jakub-szumera-in]
23,Defensive Cybersecurity - SIEM + SOAR + Proxy,Daniel Jeczeń [:material-linkedin:][daniel-jeczen-in]
24,Defensive Cybersecurity - Malware Analysis,Mirosław Koczenasz
25 :material-new-box:,Building ETL for Security data,Michał Kocur [:material-linkedin:][michal-kocur-in]
26 :material-new-box:,Security data processing automation,"Piotr Furmaniak [:material-linkedin:][piotr-furmaniak-in],<br>Adam Majstrak [:material-web:][adam-majstrak-web]"
27,Introduction to Azure Public Cloud,Rafał Nowakowski [:material-linkedin:][rafal-nowakowski-in]
