#,Topic,Trainer
1,Kickoff meeting,Damian Krawczyk [:material-web:](https://www.damiankrawczyk.com)
2,Cyber awareness,Sławomir Staciwa [:material-linkedin:](https://www.linkedin.com/in/sstaciwa)
3,Risk Management - Basics,Askaniusz Ferens [:material-linkedin:](https://www.linkedin.com/in/asek-ferens)
4,Risk Management - Compliance,Kamila Juszczyk [:material-linkedin:](https://www.linkedin.com/in/kamila-juszczyk)
5,Risk Management - Operational Risk Management,Katarzyna Kowalski [:material-linkedin:](https://www.linkedin.com/in/katarzyna-kowalski)
6,Risk Management - Audits,Karolina Sieruga [:material-linkedin:](https://www.linkedin.com/in/karolina-sieruga)
7,Identity and Access Management,Jacek Kocyba [:material-linkedin:](https://www.linkedin.com/in/jacek-kocyba-49a5a2a0)
8,Password vaults,Mateusz Kozieł [:material-linkedin:](https://www.linkedin.com/in/mateusz-koziel)
9,Cryptography - basics,Jacek Kocyba [:material-linkedin:](https://www.linkedin.com/in/jacek-kocyba-49a5a2a0)
10,Secure Configuration Monitoring,Maciej Wróbel [:material-linkedin:](https://www.linkedin.com/in/maciejwrobel)
11,Vulnerability Assessment,"Łukasz Jankowski [:material-linkedin:](https://www.linkedin.com/in/lukasz-jan-jankowski),<br>Damian Krawczyk [:material-web:](https://www.damiankrawczyk.com),<br>Jakub Hrehorowicz"
12,Offensive Cybersecurity - workshop,Jakub Plusczok [:material-linkedin:](https://www.linkedin.com/in/jakubplusczok)
13,Offensive Cybersecurity - DDOS,Gerard Żmuda [:material-linkedin:](https://linkedin.com/in/gerard-zmuda)
14,Defensive Cybersecurity - HTTP traffic analysis,Krzysztof Kuźnik [:material-linkedin:](https://linkedin.com/in/cybersec-ninja)
15,"Defensive Cybersecurity - SIEM, SOAR, ETL",Daniel Jeczeń [:material-linkedin:](https://linkedin.com/in/daniel-jeczen)
16,Defensive Cybersecurity - Static malware analysis,Mirosław Koczenasz
17,Introduction to Azure Public Cloud,Rafał Nowakowski [:material-linkedin:](https://linkedin.com/in/rafal-n)
